PARM, 6668501, RC10_MIN, 1100
PARM, 6669965, RC10_TRIM, 1500
PARM, 6671377, RC10_MAX, 1900
PARM, 6672946, RC10_REV, 1
PARM, 6674373, RC10_DZ, 0
PARM, 6675882, RC10_FUNCTION, 0
PARM, 6676340, RC11_MIN, 1100
PARM, 6678891, RC11_TRIM, 1500
PARM, 6680305, RC11_MAX, 1900
PARM, 6681808, RC11_REV, 1
PARM, 6683243, RC11_DZ, 0
PARM, 6684749, RC11_FUNCTION, 0
PARM, 6685138, THR_MIN, 0
PARM, 6687628, THR_MAX, 65
PARM, 6688953, CRUISE_THROTTLE, 50
PARM, 6690275, THR_SLEWRATE, 100
PARM, 6691831, SKID_STEER_OUT, 0
PARM, 6692149, SKID_STEER_IN, 0
PARM, 6694559, FS_ACTION, 2
PARM, 6695878, FS_TIMEOUT, 5
PARM, 6696195, FS_THR_ENABLE, 0
PARM, 6698681, FS_THR_VALUE, 910
PARM, 6699008, FS_GCS_ENABLE, 0
PARM, 6701391, RNGFND_TRIGGR_CM, 100
PARM, 6702711, RNGFND_TURN_ANGL, 45
PARM, 6703028, RNGFND_TURN_TIME, 1
PARM, 6705436, RNGFND_DEBOUNCE, 2
PARM, 6706753, LEARN_CH, 7
PARM, 6707073, MODE_CH, 8
PARM, 6709478, MODE1, 0
PARM, 6710796, MODE2, 0
PARM, 6711109, MODE3, 0
PARM, 6713593, MODE4, 3
PARM, 6714062, MODE5, 10
PARM, 6716457, MODE6, 0
PARM, 6717775, WP_RADIUS, 1
PARM, 6718088, TURN_MAX_G, 2
PARM, 6720508, STEER2SRV_TCONST, 0.75
PARM, 6721880, STEER2SRV_P, 1.8
PARM, 6723347, STEER2SRV_I, 0.2
PARM, 6724728, STEER2SRV_D, 0.005
PARM, 6726215, STEER2SRV_IMAX, 1500
PARM, 6727616, STEER2SRV_MINSPD, 1
PARM, 6728032, STEER2SRV_FF, 0
PARM, 6730534, SPEED2THR_P, 0.7
PARM, 6731907, SPEED2THR_I, 0.2
PARM, 6733537, SPEED2THR_D, 0.2
PARM, 6734932, SPEED2THR_IMAX, 4000
PARM, 6736459, COMPASS_OFS_X, -92
PARM, 6737835, COMPASS_OFS_Y, 20
PARM, 6738446, COMPASS_OFS_Z, 31
PARM, 6740819, COMPASS_DEC, -0.4121886
PARM, 6742283, COMPASS_LEARN, 0
PARM, 6743680, COMPASS_USE, 1
PARM, 6745163, COMPASS_AUTODEC, 1
PARM, 6746576, COMPASS_MOTCT, 0
PARM, 6747155, COMPASS_MOT_X, 0
PARM, 6749584, COMPASS_MOT_Y, 0
PARM, 6750102, COMPASS_MOT_Z, 0
PARM, 6752532, COMPASS_ORIENT, 8
PARM, 6753147, COMPASS_EXTERNAL, 1
PARM, 6755570, SCHED_DEBUG, 0
PARM, 6756107, GND_ABS_PRESS, 92040
PARM, 6758472, GND_TEMP, 31.87798
PARM, 6759930, GND_ALT_OFFSET, 0
PARM, 6761328, RELAY_PIN, 13
PARM, 6762703, RELAY_PIN2, -1
PARM, 6764316, RELAY_PIN3, -1
PARM, 6765707, RELAY_PIN4, -1
PARM, 6767185, RELAY_DEFAULT, 0
PARM, 6768591, RCMAP_ROLL, 1
PARM, 6769052, RCMAP_PITCH, 2
PARM, 6771430, RCMAP_THROTTLE, 3
PARM, 6772884, RCMAP_YAW, 4
PARM, 6773282, SR0_RAW_SENS, 2
PARM, 6775653, SR0_EXT_STAT, 2
PARM, 6776181, SR0_RC_CHAN, 2
PARM, 6778571, SR0_RAW_CTRL, 2
PARM, 6780036, SR0_POSITION, 2
PARM, 6781443, SR0_EXTRA1, 2
PARM, 6782986, SR0_EXTRA2, 2
PARM, 6784411, SR0_EXTRA3, 2
PARM, 6785903, SR0_PARAMS, 10
PARM, 6787330, SR1_RAW_SENS, 2
PARM, 6788988, SR1_EXT_STAT, 2
PARM, 6790368, SR1_RC_CHAN, 2
PARM, 6791818, SR1_RAW_CTRL, 2
PARM, 6792212, SR1_POSITION, 2
PARM, 6794714, SR1_EXTRA1, 2
PARM, 6795129, SR1_EXTRA2, 2
